# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "start_to_stop" "-g" "ID" "-a" "/Users/s1964600/Work/isoform_analysis_Dec2023/data/mock_annotations/BG2_GCA_014217725.1/mock_long_gene_400.gtf" "-o" "90_counts.txt" "90_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	90_aln.bam
GWK60_A00011	CP048230.1	2887	16984	-	14098	0
GWK60_A00033	CP048230.1	26033	28541	-	2509	168
GWK60_A00055	CP048230.1	32265	33504	-	1240	2410
GWK60_A00077	CP048230.1	33715	36385	-	2671	8037
GWK60_A00099	CP048230.1	36888	39468	+	2581	20283
GWK60_A00121	CP048230.1	39869	42650	+	2782	1411
GWK60_A00143	CP048230.1	42144	43215	-	1072	8273
GWK60_A00165	CP048230.1	43698	44898	+	1201	9533
GWK60_A00187	CP048230.1	44408	45404	-	997	5392
GWK60_A00209	CP048230.1	45607	47536	+	1930	4798
GWK60_A00231	CP048230.1	47685	48654	+	970	4166
GWK60_A00253	CP048230.1	48224	50978	-	2755	24533
GWK60_A00275	CP048230.1	51406	55015	-	3610	1559
GWK60_A00297	CP048230.1	56199	57363	+	1165	26992
GWK60_A00319	CP048230.1	56879	58673	-	1795	20619
GWK60_A00341	CP048230.1	62211	65934	+	3724	16892
GWK60_A00363	CP048230.1	65391	68151	-	2761	5921
GWK60_A00385	CP048230.1	69266	72374	-	3109	7147
GWK60_A00407	CP048230.1	73476	77244	+	3769	36595
GWK60_A00429	CP048230.1	76662	77871	-	1210	2654
GWK60_A00451	CP048230.1	77956	79594	-	1639	1146
GWK60_A00473	CP048230.1	79931	82271	+	2341	3021
GWK60_A00495	CP048230.1	81526	83848	-	2323	3985
GWK60_A00517	CP048230.1	84469	85522	+	1054	2935
GWK60_A00539	CP048230.1	85576	86359	+	784	122
GWK60_A00583	CP048230.1	87402	88626	+	1225	19
GWK60_A00605	CP048230.1	89315	92315	+	3001	804
GWK60_A00627	CP048230.1	94544	95234	+	691	0
GWK60_A00649	CP048230.1	95979	98028	+	2050	122
GWK60_A00671	CP048230.1	98790	102978	+	4189	9370
GWK60_A00693	CP048230.1	102237	106125	-	3889	6180
GWK60_A00715	CP048230.1	106542	108036	+	1495	6953
GWK60_A00737	CP048230.1	107362	108751	-	1390	1183
GWK60_A00759	CP048230.1	109052	112007	+	2956	313
GWK60_A00781	CP048230.1	111305	113963	-	2659	8020
GWK60_A00803	CP048230.1	114196	118876	+	4681	2483
GWK60_A00825	CP048230.1	118183	119263	-	1081	97
GWK60_A00847	CP048230.1	119483	121094	+	1612	3977
GWK60_A00869	CP048230.1	121221	121857	-	637	173134
GWK60_A00891	CP048230.1	122845	123904	+	1060	4058
GWK60_A00913	CP048230.1	123980	125615	+	1636	1190
GWK60_A00935	CP048230.1	125650	127501	-	1852	81136
GWK60_A00957	CP048230.1	128085	130410	+	2326	11980
GWK60_A00979	CP048230.1	129828	131835	-	2008	118025
GWK60_A01001	CP048230.1	132712	133321	+	610	77677
GWK60_A01023	CP048230.1	133262	136067	+	2806	7823
GWK60_A01045	CP048230.1	136034	138263	+	2230	1445
GWK60_A01067	CP048230.1	138245	141197	+	2953	140
GWK60_A01089	CP048230.1	140956	141667	+	712	8790
GWK60_A01111	CP048230.1	142280	144521	+	2242	3339
GWK60_A01133	CP048230.1	147012	148293	+	1282	1351
GWK60_A01155	CP048230.1	148337	150332	-	1996	387
GWK60_A01177	CP048230.1	152581	157171	+	4591	62
GWK60_A01199	CP048230.1	157478	159317	+	1840	6719
GWK60_A01221	CP048230.1	161505	166287	+	4783	79
GWK60_A01243	CP048230.1	166594	168433	+	1840	228
GWK60_A01265	CP048230.1	168514	171037	+	2524	40315
GWK60_A01287	CP048230.1	170951	173795	+	2845	628
GWK60_A01309	CP048230.1	174356	176477	+	2122	4207
GWK60_A01353	CP048230.1	176606	177486	-	881	123164
GWK60_A01375	CP048230.1	178790	179657	+	868	125738
GWK60_A01397	CP048230.1	179925	180582	+	658	223
GWK60_A01419	CP048230.1	179910	181059	-	1150	4811
GWK60_A01441	CP048230.1	182472	184146	+	1675	16343
GWK60_A01463	CP048230.1	184908	185664	+	757	11620
GWK60_A01485	CP048230.1	185577	188061	-	2485	17397
GWK60_A01507	CP048230.1	187983	190308	-	2326	1957
GWK60_A01529	CP048230.1	190708	191743	+	1036	33652
GWK60_A01551	CP048230.1	192070	193879	+	1810	38324
GWK60_A01573	CP048230.1	193338	195555	-	2218	5351
GWK60_A01595	CP048230.1	195748	197854	-	2107	248159
GWK60_A01617	CP048230.1	200917	203008	-	2092	29093
GWK60_A01639	CP048230.1	204737	206903	-	2167	27382
GWK60_A01661	CP048230.1	208625	211829	-	3205	8009
GWK60_A01683	CP048230.1	212060	214844	-	2785	7516
GWK60_A01705	CP048230.1	215685	216351	+	667	6
GWK60_A01727	CP048230.1	216271	227902	+	11632	16723
GWK60_A01771	CP048230.1	228106	229726	+	1621	4717
GWK60_A01793	CP048230.1	229036	231463	-	2428	3560
GWK60_A01815	CP048230.1	231432	232212	-	781	25889
GWK60_A01837	CP048230.1	232556	235028	-	2473	2471
GWK60_A01859	CP048230.1	236896	239626	+	2731	8281
GWK60_A01903	CP048230.1	239387	241808	-	2422	13374
GWK60_A01925	CP048230.1	242419	244465	+	2047	28291
GWK60_A01947	CP048230.1	243879	245421	-	1543	2029
GWK60_A01969	CP048230.1	246399	247980	+	1582	1022
GWK60_A02013	CP048230.1	247686	249903	-	2218	18194
GWK60_A02035	CP048230.1	250300	252358	-	2059	68354
GWK60_A02057	CP048230.1	256575	258624	-	2050	74223
GWK60_A02079	CP048230.1	263580	264801	+	1222	1265
GWK60_A02101	CP048230.1	265990	267244	+	1255	7298
GWK60_A02123	CP048230.1	266943	269013	-	2071	34178
GWK60_A02145	CP048230.1	270009	270675	+	667	66
GWK60_A02167	CP048230.1	270999	272730	-	1732	32385
GWK60_A02189	CP048230.1	273815	275174	+	1360	8755
GWK60_A02211	CP048230.1	274832	276569	-	1738	10608
GWK60_A02233	CP048230.1	276559	278722	-	2164	10465
GWK60_A02277	CP048230.1	278898	281022	-	2125	28671
GWK60_A02299	CP048230.1	281204	284204	+	3001	5003
GWK60_A02321	CP048230.1	284239	285589	+	1351	3847
GWK60_A02343	CP048230.1	285630	286989	+	1360	59868
GWK60_A02365	CP048230.1	286432	288025	-	1594	8026
GWK60_A02387	CP048230.1	292062	293601	+	1540	15432
GWK60_A02409	CP048230.1	293614	296632	+	3019	4546
GWK60_A02431	CP048230.1	295908	296610	-	703	18177
GWK60_A02453	CP048230.1	296784	298950	+	2167	17181
GWK60_A02475	CP048230.1	298381	301912	-	3532	6415
GWK60_A02497	CP048230.1	302046	303276	-	1231	6974
GWK60_A02519	CP048230.1	303102	305559	-	2458	20167
GWK60_A02541	CP048230.1	305706	307197	+	1492	482
GWK60_A02563	CP048230.1	306984	307638	+	655	38676
GWK60_A02585	CP048230.1	307549	309238	+	1690	13871
GWK60_A02607	CP048230.1	308645	310370	-	1726	1374
GWK60_A02629	CP048230.1	310613	311850	+	1238	2810
GWK60_A02651	CP048230.1	311931	313263	+	1333	11450
GWK60_A02673	CP048230.1	312552	315435	-	2884	4164
GWK60_A02695	CP048230.1	315413	317021	-	1609	5014
GWK60_A02717	CP048230.1	317339	318053	+	715	61576
GWK60_A02739	CP048230.1	318016	319921	+	1906	2345
GWK60_A02761	CP048230.1	319468	320854	-	1387	10887
GWK60_A02783	CP048230.1	321432	322404	+	973	7128
GWK60_A02805	CP048230.1	321782	323111	-	1330	2
GWK60_A02827	CP048230.1	323402	324026	+	625	1237
GWK60_A02849	CP048230.1	323368	325141	-	1774	863
GWK60_A02871	CP048230.1	325407	327312	+	1906	5885
GWK60_A02893	CP048230.1	327258	327963	+	706	51407
GWK60_A02915	CP048230.1	327409	328415	-	1007	12639
GWK60_A02937	CP048230.1	328743	331521	+	2779	8391
GWK60_A02959	CP048230.1	331247	331886	-	640	11655
GWK60_A02981	CP048230.1	333043	335392	+	2350	7976
GWK60_A03003	CP048230.1	335757	338155	+	2399	19889
GWK60_A03025	CP048230.1	337721	338468	-	748	12158
GWK60_A03047	CP048230.1	339100	339829	+	730	223310
GWK60_A03069	CP048230.1	339268	340393	-	1126	4092
GWK60_A03091	CP048230.1	340472	341678	-	1207	21469
GWK60_A03113	CP048230.1	343669	346597	+	2929	94020
GWK60_A03135	CP048230.1	346671	348957	+	2287	635
GWK60_A03157	CP048230.1;CP048230.1	348514;348514	350161;349481	-;-	1648	56588
GWK60_A03179	CP048230.1	350807	352673	-	1867	56
GWK60_A03201	CP048230.1	353607	355359	+	1753	5520
GWK60_A03223	CP048230.1	355593	357870	+	2278	9688
GWK60_A03245	CP048230.1	358679	360851	-	2173	93705
GWK60_A03267	CP048230.1	361447	362461	-	1015	65622
GWK60_A03289	CP048230.1	363837	364980	+	1144	17
GWK60_A03311	CP048230.1	365013	368868	+	3856	3581
GWK60_A03333	CP048230.1	369013	370873	+	1861	2429
GWK60_A03355	CP048230.1	370349	372164	-	1816	21352
GWK60_A03377	CP048230.1	372366	374805	-	2440	640
GWK60_A03421	CP048230.1	375505	376156	-	652	29711
GWK60_A03443	CP048230.1	376558	379939	-	3382	2760
GWK60_A03465	CP048230.1	379853	380822	-	970	671
GWK60_A03487	CP048230.1	381016	382060	-	1045	644
GWK60_A03509	CP048230.1	384128	387716	-	3589	9157
GWK60_A03531	CP048230.1	387824	390425	-	2602	3974
GWK60_A03553	CP048230.1	390734	392126	+	1393	332
GWK60_A03575	CP048230.1	392385	394032	+	1648	14964
GWK60_A03597	CP048230.1	393604	398962	-	5359	55479
GWK60_A03619	CP048230.1	399955	402601	+	2647	16245
GWK60_A03663	CP048230.1	402592	403537	-	946	2899
GWK60_A03685	CP048230.1	403994	405809	+	1816	0
GWK60_A03707	CP048230.1	405826	407656	+	1831	1210
GWK60_A03751	CP048230.1	407655	409608	-	1954	14996
GWK60_A03773	CP048230.1	409765	410581	+	817	13281
GWK60_A03795	CP048230.1	409971	411312	-	1342	4413
GWK60_A03817	CP048230.1	412336	414049	+	1714	9594
GWK60_A03839	CP048230.1	414376	415582	+	1207	4799
GWK60_A03861	CP048230.1	415047	415767	-	721	6172
GWK60_A03883	CP048230.1	415997	417360	+	1364	3168
GWK60_A03905	CP048230.1	416826	418752	-	1927	11512
GWK60_A03927	CP048230.1	418819	420970	-	2152	12535
GWK60_A03949	CP048230.1	421263	423018	+	1756	13617
GWK60_A03971	CP048230.1	423196	424720	+	1525	21607
GWK60_A03993	CP048230.1	424657	425611	+	955	7745
GWK60_A04015	CP048230.1	425760	426957	+	1198	67797
GWK60_A04037	CP048230.1	426408	427983	-	1576	2688
GWK60_A04059	CP048230.1	428322	430431	-	2110	5935
GWK60_A04081	CP048230.1	430649	431318	-	670	13133
GWK60_A04103	CP048230.1	432045	434367	+	2323	2799
GWK60_A04125	CP048230.1	435071	437630	+	2560	2247
GWK60_A04147	CP048230.1	437075	439409	-	2335	6192
GWK60_A04169	CP048230.1	440135	441689	+	1555	8667
GWK60_A04191	CP048230.1	441248	443006	-	1759	5049
GWK60_A04213	CP048230.1	444199	445249	+	1051	4289
GWK60_A04235	CP048230.1	444614	446192	-	1579	26602
GWK60_A04279	CP048230.1	446198	446960	-	763	1680
GWK60_A04257	CP048230.1	447237	448104	+	868	6417
GWK60_A04301	CP048230.1	448654	451021	+	2368	1852
GWK60_A04323	CP048230.1	451222	452404	+	1183	50731
GWK60_A04345	CP048230.1	452620	456316	+	3697	4051
GWK60_A04367	CP048230.1	457166	459878	+	2713	9575
GWK60_A04389	CP048230.1	459763	460411	-	649	500
GWK60_A04411	CP048230.1	462348	463353	+	1006	80832
GWK60_A04433	CP048230.1	463883	465374	+	1492	2906
GWK60_A04455	CP048230.1	465642	469167	+	3526	9608
GWK60_A04477	CP048230.1	469217	470945	+	1729	888
GWK60_A04499	CP048230.1	471201	472686	+	1486	7627
GWK60_A04521	CP048230.1	472235	474263	-	2029	1973
GWK60_A04543	CP048230.1	474804	475560	-	757	260
GWK60_A04565	CP048230.1	476978	477752	+	775	12983
GWK60_A04587	CP048230.1	477364	478561	-	1198	21975
GWK60_A04609	CP048230.1	478948	480958	-	2011	25937
GWK60_A04631	CP048230.1	482292	484494	+	2203	7495
GWK60_A04653	CP048230.1	484709	485906	+	1198	9571
