NP_818776.1	QNG14103.1	22.115	52	339	582	208	28.1	2.0
NP_818778.1	QNG14122.1	24.211	17	534	320	95	31.2	0.29
NP_818779.1	QNG15867.1	24.691	21	371	544	81	26.6	6.2
NP_818780.1	QNG13297.1	30.645	16	377	602	62	28.9	1.2
NP_818781.1	QNG14483.1	26.829	28	279	961	82	28.9	1.0
NP_818782.1	QNG13008.1	40.000	63	48	431	30	26.9	0.081
NP_818783.1	QNG16933.1	30.000	26	260	612	70	28.5	1.2
NP_818784.1	QNG12347.1	42.424	43	76	412	33	24.6	1.5
NP_818785.1	QNG15689.1	32.500	18	227	358	40	28.1	0.98
NP_818786.1	QNG12125.1	35.714	10	269	1122	28	28.5	1.0
XP_002999509.1	QNG12155.1	100.000	100	103	103	103	207	4.11e-72
XP_002999510.1	QNG12159.1	95.461	100	1401	1396	1410	2416	0.0
XP_002999511.1	QNG12162.1	98.539	100	477	479	479	925	0.0
XP_002999512.1	QNG12161.1	97.059	100	1462	1460	1462	2830	0.0
XP_002999513.1	QNG12233.1	98.261	100	115	115	115	237	1.38e-83
XP_002999514.1	QNG12313.1	100.000	100	76	76	76	159	4.94e-54
XP_002999515.1	QNG12372.1	98.701	100	77	77	77	152	2.46e-51
XP_002999516.1	QNG12385.1	98.649	100	74	74	74	147	1.84e-49
XP_002999517.1	QNG12426.1	100.000	100	71	71	71	145	1.54e-48
XP_002999518.1	QNG13509.1	44.000	40	62	1311	25	25.0	0.76
XP_002999519.1	QNG12473.1	100.000	100	94	94	94	191	3.44e-66
XP_002999520.1	QNG12476.1	100.000	100	84	84	84	170	6.78e-58
XP_002999521.1	QNG12567.1	100.000	100	149	149	149	309	7.63e-111
XP_002999522.1	QNG12573.1	100.000	100	82	82	82	167	7.92e-57
XP_002999523.1	QNG12595.1	100.000	100	34	34	34	75.1	1.23e-21
XP_002999524.1	QNG12628.1	100.000	100	73	73	73	149	6.16e-50
XP_002999525.1	QNG12720.1	100.000	100	80	80	80	167	7.33e-57
XP_002999526.1	QNG12744.1	100.000	100	37	37	37	73.9	4.12e-21
XP_002999527.1	QNG12815.1	100.000	100	63	63	63	112	7.91e-36
XP_002999528.1	QNG12849.1	100.000	100	70	70	70	144	3.99e-48
XP_002999529.1	QNG12856.1	100.000	100	76	76	76	147	2.34e-49
XP_002999530.1	QNG12955.1	100.000	100	79	79	79	155	3.12e-52
XP_002999531.1	QNG12972.1	100.000	100	49	49	49	103	2.20e-32
XP_002999532.1	QNG12992.1	100.000	100	120	120	120	244	3.56e-86
XP_002999533.1	QNG13025.1	98.901	100	91	146	91	183	2.97e-62
XP_002999534.1	QNG12754.1	59.189	99	1864	2243	1850	1650	0.0
XP_002999534.1	QNG12754.1	60.060	99	1864	2243	1655	1369	0.0
XP_002999534.1	QNG12754.1	54.457	99	1864	2243	1436	1024	0.0
XP_002999535.1	QNG13107.1	100.000	100	102	102	102	212	3.37e-74
XP_002999536.1	QNG13140.1	100.000	100	133	133	133	263	3.92e-93
XP_002999537.1	QNG13233.1	98.571	100	70	70	70	142	1.70e-47
XP_002999538.1	QNG13421.1	100.000	100	50	50	50	101	1.18e-31
XP_002999539.1	QNG13454.1	99.010	100	101	101	101	203	1.47e-70
XP_002999540.1	QNG13539.1	100.000	100	67	67	67	125	7.68e-41
XP_002999541.1	QNG13597.1	100.000	100	93	93	93	191	5.31e-66
XP_002999542.1	QNG12526.1	59.231	84	154	3372	130	158	3.55e-46
XP_002999543.1	QNG13810.1	99.286	100	140	140	140	289	3.24e-103
XP_002999544.1	QNG13928.1	100.000	100	95	95	95	187	1.36e-64
XP_002999546.1	QNG14021.1	100.000	100	108	108	108	219	9.18e-77
XP_002999547.1	QNG14038.1	100.000	100	78	78	78	155	2.52e-52
XP_002999548.1	QNG14182.1	99.146	100	820	820	820	1578	0.0
XP_002999549.1	QNG12392.1	29.730	58	55	1120	37	23.5	1.9
XP_002999550.1	QNG14239.1	100.000	100	61	61	61	124	1.12e-40
XP_002999551.1	QNG14339.1	100.000	100	70	70	70	138	1.14e-45
XP_002999552.1	QNG14432.1	100.000	100	72	72	72	148	1.51e-49
XP_002999553.1	QNG14446.1	98.889	100	90	90	90	181	5.27e-62
XP_002999554.1	QNG14515.1	100.000	100	93	93	93	189	4.09e-65
XP_002999555.1	QNG14586.1	100.000	100	84	84	84	173	2.87e-59
XP_002999556.1	QNG16120.1	100.000	100	88	88	88	170	5.76e-58
XP_002999557.1	QNG16129.1	100.000	100	57	57	57	114	1.42e-36
XP_002999558.1	QNG16165.1	100.000	100	85	85	85	168	3.24e-57
XP_002999559.1	QNG14666.1	100.000	100	82	82	82	171	2.81e-58
XP_002999560.1	QNG14691.1	100.000	100	85	85	85	175	8.25e-60
XP_002999561.1	QNG14440.1	31.373	47	109	163	51	28.5	0.15
XP_002999562.1	QNG14756.1	100.000	100	63	63	63	127	1.61e-41
XP_002999563.1	QNG16703.1	73.382	83	4336	5492	3182	4584	0.0
