# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "start_to_stop" "-g" "ID" "-a" "/Users/s1964600/Work/isoform_analysis_Dec2023/data/mock_annotations/CBS138_GCF_000002545.3/mock_long_gene_400.gtf" "-o" "94_counts.txt" "94_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	94_aln.bam
CAGL0A00165g	NC_005967.2	17637	18876	-	1240	1123
CAGL0A00187g	NC_005967.2	19087	21757	-	2671	1989
CAGL0A00209g	NC_005967.2	22260	24840	+	2581	7580
CAGL0A00231g	NC_005967.2	25241	28022	+	2782	234
CAGL0A00253g	NC_005967.2	27515	28586	-	1072	2070
CAGL0A00275g	NC_005967.2	29069	30269	+	1201	2932
CAGL0A00297g	NC_005967.2	29779	30775	-	997	1724
CAGL0A00319g	NC_005967.2	30978	32907	+	1930	2282
CAGL0A00341g	NC_005967.2	33056	34025	+	970	499
CAGL0A00363g	NC_005967.2	33595	36349	-	2755	6313
CAGL0A00385g	NC_005967.2	36762	40371	-	3610	334
CAGL0A00407g	NC_005967.2	41556	42720	+	1165	8320
CAGL0A00429g	NC_005967.2	42236	44030	-	1795	4103
CAGL0A00451g	NC_005967.2	47557	51280	+	3724	10146
CAGL0A00473g	NC_005967.2	50737	53497	-	2761	1152
CAGL0A00495g	NC_005967.2	54614	57722	-	3109	655
CAGL0A00517g	NC_005967.2	58830	62598	+	3769	8948
CAGL0A00539g	NC_005967.2	62016	63225	-	1210	590
CAGL0A00561g	NC_005967.2	63310	64948	-	1639	246
CAGL0A00583g	NC_005967.2	65286	67626	+	2341	722
CAGL0A00605g	NC_005967.2	66881	69203	-	2323	1577
CAGL0A00627g	NC_005967.2	69832	70885	+	1054	761
CAGL0A00649g	NC_005967.2	70937	71720	+	784	14
CAGL0A00715g	NC_005967.2	73333	74023	+	691	0
CAGL0A00737g	NC_005967.2	74767	76816	+	2050	20
CAGL0A00781g	NC_005967.2	77746	81766	+	4021	3434
CAGL0A00803g	NC_005967.2	81025	84913	-	3889	2021
CAGL0A00825g	NC_005967.2	85331	86825	+	1495	2522
CAGL0A00847g	NC_005967.2	86151	87540	-	1390	329
CAGL0A00869g	NC_005967.2	87841	90796	+	2956	97
CAGL0A00891g	NC_005967.2	90094	92752	-	2659	2215
CAGL0A00913g	NC_005967.2	92985	97665	+	4681	929
CAGL0A00935g	NC_005967.2	96972	98052	-	1081	19
CAGL0A00957g	NC_005967.2	98272	99883	+	1612	958
CAGL0A00979g	NC_005967.2	100010	100646	-	637	23428
CAGL0A01001g	NC_005967.2	101642	102701	+	1060	1170
CAGL0A01023g	NC_005967.2	102793	104428	+	1636	242
CAGL0A01045g	NC_005967.2	104465	106316	-	1852	22751
CAGL0A01067g	NC_005967.2	106866	109191	+	2326	3567
CAGL0A01089g	NC_005967.2	108609	110616	-	2008	26173
CAGL0A01111g	NC_005967.2	111480	112089	+	610	23494
CAGL0A01133g	NC_005967.2	112037	114842	+	2806	989
CAGL0A01155g	NC_005967.2	114809	117038	+	2230	432
CAGL0A01177g	NC_005967.2	117020	119972	+	2953	126
CAGL0A01193g	NC_005967.2	119731	120442	+	712	3880
CAGL0A01199g	NC_005967.2	121067	123308	+	2242	775
CAGL0A01221g	NC_005967.2	125780	127061	+	1282	10829
CAGL0A01243g	NC_005967.2	127106	129101	-	1996	268
CAGL0A01284g	NC_005967.2	131362	135967	+	4606	42
CAGL0A01325g	NC_005967.2	136262	138095	+	1834	2058
CAGL0A01366g	NC_005967.2	140305	145093	+	4789	67
CAGL0A01408g	NC_005967.2	145388	147233	+	1846	17
CAGL0A01430g	NC_005967.2	147313	149836	+	2524	18852
CAGL0A01452g	NC_005967.2	149750	152594	+	2845	129
CAGL0A01474g	NC_005967.2	153155	155333	+	2179	419
CAGL0A01540g	NC_005967.2	155462	156342	-	881	46401
CAGL0A01562g	NC_005967.2	157645	158512	+	868	39452
CAGL0A01584g	NC_005967.2	158780	159437	+	658	165
CAGL0A01606g	NC_005967.2	158792	159914	-	1123	421
CAGL0A01628g	NC_005967.2	161327	163001	+	1675	3682
CAGL0A01650g	NC_005967.2	163770	164526	+	757	2453
CAGL0A01672g	NC_005967.2	164436	166920	-	2485	5545
CAGL0A01694g	NC_005967.2	166842	169167	-	2326	513
CAGL0A01716g	NC_005967.2	169567	170602	+	1036	3135
CAGL0A01738g	NC_005967.2	170940	172749	+	1810	12827
CAGL0A01760g	NC_005967.2	172208	174425	-	2218	1504
CAGL0A01782g	NC_005967.2	174618	176724	-	2107	35626
CAGL0A01804g	NC_005967.2	179780	181871	-	2092	7342
CAGL0A01826g	NC_005967.2	183613	185779	-	2167	537
CAGL0A01848g	NC_005967.2	187500	190704	-	3205	3145
CAGL0A01870g	NC_005967.2	190935	193719	-	2785	1350
CAGL0A01892g	NC_005967.2	194560	195226	+	667	0
CAGL0A01914g	NC_005967.2	195146	206777	+	11632	3422
CAGL0A01958g	NC_005967.2	206981	208601	+	1621	1427
CAGL0A01980g	NC_005967.2	207911	210338	-	2428	577
CAGL0A02002g	NC_005967.2	210307	211087	-	781	2117
CAGL0A02024g	NC_005967.2	211429	213901	-	2473	835
CAGL0A02046g	NC_005967.2	215768	218498	+	2731	3456
CAGL0A02090g	NC_005967.2	218255	220676	-	2422	5646
CAGL0A02112g	NC_005967.2	221288	223334	+	2047	8111
CAGL0A02134g	NC_005967.2	222748	224017	-	1270	844
CAGL0A02145g	NC_005967.2	224026	226844	+	2819	407
CAGL0A02189g	NC_005967.2	226545	228762	-	2218	3606
CAGL0A02211g	NC_005967.2	229156	231214	-	2059	8976
CAGL0A02233g	NC_005967.2	235420	237469	-	2050	4
CAGL0A02255g	NC_005967.2	244683	245901	+	1219	69
CAGL0A02277g	NC_005967.2	248522	249740	+	1219	877
CAGL0A02299g	NC_005967.2	250851	252090	+	1240	9466
CAGL0A02321g	NC_005967.2	251792	253862	-	2071	7966
CAGL0A02343g	NC_005967.2	254861	255527	+	667	45
CAGL0A02365g	NC_005967.2	255850	257581	-	1732	8104
CAGL0A02387g	NC_005967.2	258667	260026	+	1360	2971
CAGL0A02409g	NC_005967.2	259684	261421	-	1738	3453
CAGL0A02431g	NC_005967.2	261412	263575	-	2164	2862
CAGL0A02475g	NC_005967.2	263752	265873	-	2122	10146
CAGL0A02486g	NC_005967.2	266055	269055	+	3001	1146
CAGL0A02508g	NC_005967.2	269090	270440	+	1351	1051
CAGL0A02530g	NC_005967.2	270481	271840	+	1360	21116
CAGL0A02552g	NC_005967.2	271284	272874	-	1591	2817
CAGL0A02574g	NC_005967.2	276915	278454	+	1540	11870
CAGL0A02596g	NC_005967.2	278467	281485	+	3019	2448
CAGL0A02618g	NC_005967.2	280761	281463	-	703	8511
CAGL0A02629g	NC_005967.2	281637	283803	+	2167	6402
CAGL0A02651g	NC_005967.2	283234	286783	-	3550	1739
CAGL0A02673g	NC_005967.2	286918	288148	-	1231	2117
CAGL0A02695g	NC_005967.2	287973	290448	-	2476	9458
CAGL0A02706g	NC_005967.2	290595	292104	+	1510	83
CAGL0A02728g	NC_005967.2	291888	292560	+	673	14330
CAGL0A02750g	NC_005967.2	292470	294159	+	1690	3677
CAGL0A02772g	NC_005967.2	293566	295291	-	1726	412
CAGL0A02794g	NC_005967.2	295534	296771	+	1238	444
CAGL0A02816g	NC_005967.2	296851	298183	+	1333	2716
CAGL0A02838g	NC_005967.2	297472	300358	-	2887	854
CAGL0A02860g	NC_005967.2	300336	301944	-	1609	797
CAGL0A02882g	NC_005967.2	302262	302976	+	715	17707
CAGL0A02904g	NC_005967.2	302938	304843	+	1906	670
CAGL0A02926g	NC_005967.2	304389	305775	-	1387	3204
CAGL0A02948g	NC_005967.2	306353	307325	+	973	2106
CAGL0A02970g	NC_005967.2	306703	308032	-	1330	0
CAGL0A02992g	NC_005967.2	308289	310062	-	1774	121
CAGL0A03014g	NC_005967.2	310323	312228	+	1906	1290
CAGL0A03036g	NC_005967.2	312174	312879	+	706	14136
CAGL0A03051g	NC_005967.2	312328	313334	-	1007	3702
CAGL0A03058g	NC_005967.2	313662	316440	+	2779	2620
CAGL0A03080g	NC_005967.2	316167	316806	-	640	1996
CAGL0A03102g	NC_005967.2	317961	320310	+	2350	3549
CAGL0A03117g	NC_005967.2	320671	323066	+	2396	4314
CAGL0A03146g	NC_005967.2	322630	323377	-	748	3363
CAGL0A03168g	NC_005967.2	324013	324742	+	730	44909
CAGL0A03190g	NC_005967.2	324181	325306	-	1126	696
CAGL0A03212g	NC_005967.2	325388	326594	-	1207	5185
CAGL0A03234g	NC_005967.2	328577	331505	+	2929	13805
CAGL0A03256g	NC_005967.2	331579	333865	+	2287	179
CAGL0A03278g	NC_005967.2;NC_005967.2	333422;333422	335069;334389	-;-	1648	18488
CAGL0A03300g	NC_005967.2	335717	337583	-	1867	22
CAGL0A03322g	NC_005967.2	338516	340268	+	1753	1339
CAGL0A03344g	NC_005967.2	340501	342778	+	2278	2478
CAGL0A03366g	NC_005967.2	343587	345759	-	2173	23738
CAGL0A03388g	NC_005967.2	346348	347362	-	1015	24527
CAGL0A03410g	NC_005967.2	348708	349851	+	1144	10
CAGL0A03432g	NC_005967.2	349884	353739	+	3856	741
CAGL0A03454g	NC_005967.2	353884	355744	+	1861	650
CAGL0A03476g	NC_005967.2	355220	357035	-	1816	5259
CAGL0A03498g	NC_005967.2	357239	359678	-	2440	143
CAGL0A03542g	NC_005967.2	360379	361030	-	652	2305
CAGL0A03564g	NC_005967.2	361432	364813	-	3382	654
CAGL0A03586g	NC_005967.2	364727	365696	-	970	283
CAGL0A03608g	NC_005967.2	365890	366934	-	1045	321
CAGL0A03630g	NC_005967.2	369004	372592	-	3589	2539
CAGL0A03652g	NC_005967.2	372700	375301	-	2602	1251
CAGL0A03674g	NC_005967.2	375610	377002	+	1393	204
CAGL0A03696g	NC_005967.2	377255	378902	+	1648	3777
CAGL0A03718g	NC_005967.2	378474	383832	-	5359	12556
CAGL0A03740g	NC_005967.2	384820	387466	+	2647	2220
CAGL0A03784g	NC_005967.2	387456	388401	-	946	885
CAGL0A03806g	NC_005967.2	388858	390670	+	1813	0
CAGL0A03828g	NC_005967.2	390687	392517	+	1831	327
CAGL0A03872g	NC_005967.2	392522	394454	-	1933	4287
CAGL0A03883g	NC_005967.2	394613	395429	+	817	5637
CAGL0A03905g	NC_005967.2	394819	396067	-	1249	1991
CAGL0A03927g	NC_005967.2	397179	398892	+	1714	3134
CAGL0A03949g	NC_005967.2	399220	400426	+	1207	1191
CAGL0A03971g	NC_005967.2	399891	400611	-	721	1591
CAGL0A03993g	NC_005967.2	400841	402204	+	1364	1036
CAGL0A04015g	NC_005967.2	401670	403596	-	1927	3274
CAGL0A04037g	NC_005967.2	403663	405814	-	2152	3689
CAGL0A04059g	NC_005967.2	406133	407888	+	1756	6399
CAGL0A04081g	NC_005967.2	408064	409588	+	1525	7580
CAGL0A04103g	NC_005967.2	409523	410477	+	955	2396
CAGL0A04125g	NC_005967.2	410626	411823	+	1198	20349
CAGL0A04147g	NC_005967.2	411274	412849	-	1576	787
CAGL0A04169g	NC_005967.2	413188	415297	-	2110	747
CAGL0A04191g	NC_005967.2	415533	416202	-	670	5054
CAGL0A04213g	NC_005967.2	416929	419248	+	2320	636
CAGL0A04235g	NC_005967.2	419951	422510	+	2560	732
CAGL0A04257g	NC_005967.2	421955	424289	-	2335	3274
CAGL0A04279g	NC_005967.2	425058	426612	+	1555	2613
CAGL0A04301g	NC_005967.2	426171	427929	-	1759	1881
CAGL0A04323g	NC_005967.2	429121	430171	+	1051	1394
CAGL0A04345g	NC_005967.2	429536	431114	-	1579	7113
CAGL0A04367g	NC_005967.2	431119	431881	-	763	659
CAGL0A04389g	NC_005967.2	432158	433025	+	868	1704
CAGL0A04411g	NC_005967.2	433577	435944	+	2368	939
CAGL0A04433g	NC_005967.2	436143	437325	+	1183	7945
CAGL0A04455g	NC_005967.2	437546	441242	+	3697	1115
CAGL0A04477g	NC_005967.2	442089	444801	+	2713	3947
CAGL0A04499g	NC_005967.2	444685	445333	-	649	182
CAGL0A04521g	NC_005967.2	447271	448276	+	1006	25578
CAGL0A04543g	NC_005967.2	448806	450297	+	1492	722
CAGL0A04565g	NC_005967.2	450575	454100	+	3526	3350
CAGL0A04587g	NC_005967.2	454151	455879	+	1729	285
CAGL0A04631g	NC_005967.2	456156	457641	+	1486	2279
CAGL0A04653g	NC_005967.2	457190	459218	-	2029	639
CAGL0A04675g	NC_005967.2	459759	460515	-	757	29
CAGL0A04697g	NC_005967.2	461930	462704	+	775	4189
CAGL0A04719g	NC_005967.2	462316	463513	-	1198	5240
CAGL0A04741g	NC_005967.2	463902	465912	-	2011	5952
CAGL0A04785g	NC_005967.2	467238	469440	+	2203	1989
CAGL0A04807g	NC_005967.2	469655	470852	+	1198	2883
CAGL0A04829g	NC_005967.2	470391	472251	-	1861	71962
CAGL0B00220g	NC_005968.1	10385	11015	+	631	6
CAGL0B00242g	NC_005968.1	10182	11136	-	955	0
CAGL0B00264g	NC_005968.1	11470	12502	+	1033	169
CAGL0B00286g	NC_005968.1	12403	13885	-	1483	2226
CAGL0B00308g	NC_005968.1	16533	18225	+	1693	640
