# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "start_to_stop" "-g" "ID" "-a" "/Users/s1964600/Work/isoform_analysis_Dec2023/data/mock_annotations/BG2_GCA_014217725.1/mock_long_gene_400.gtf" "-o" "79_counts.txt" "79_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	79_aln.bam
GWK60_A00011	CP048230.1	2887	16984	-	14098	0
GWK60_A00033	CP048230.1	26033	28541	-	2509	41
GWK60_A00055	CP048230.1	32265	33504	-	1240	723
GWK60_A00077	CP048230.1	33715	36385	-	2671	1155
GWK60_A00099	CP048230.1	36888	39468	+	2581	4225
GWK60_A00121	CP048230.1	39869	42650	+	2782	109
GWK60_A00143	CP048230.1	42144	43215	-	1072	964
GWK60_A00165	CP048230.1	43698	44898	+	1201	1942
GWK60_A00187	CP048230.1	44408	45404	-	997	532
GWK60_A00209	CP048230.1	45607	47536	+	1930	1019
GWK60_A00231	CP048230.1	47685	48654	+	970	318
GWK60_A00253	CP048230.1	48224	50978	-	2755	601
GWK60_A00275	CP048230.1	51406	55015	-	3610	540
GWK60_A00297	CP048230.1	56199	57363	+	1165	7346
GWK60_A00319	CP048230.1	56879	58673	-	1795	769
GWK60_A00341	CP048230.1	62211	65934	+	3724	1532
GWK60_A00363	CP048230.1	65391	68151	-	2761	800
GWK60_A00385	CP048230.1	69266	72374	-	3109	2023
GWK60_A00407	CP048230.1	73476	77244	+	3769	2194
GWK60_A00429	CP048230.1	76662	77871	-	1210	1062
GWK60_A00451	CP048230.1	77956	79594	-	1639	210
GWK60_A00473	CP048230.1	79931	82271	+	2341	542
GWK60_A00495	CP048230.1	81526	83848	-	2323	980
GWK60_A00517	CP048230.1	84469	85522	+	1054	835
GWK60_A00539	CP048230.1	85576	86359	+	784	26
GWK60_A00583	CP048230.1	87402	88626	+	1225	0
GWK60_A00605	CP048230.1	89315	92315	+	3001	137
GWK60_A00627	CP048230.1	94544	95234	+	691	0
GWK60_A00649	CP048230.1	95979	98028	+	2050	23
GWK60_A00671	CP048230.1	98790	102978	+	4189	921
GWK60_A00693	CP048230.1	102237	106125	-	3889	1173
GWK60_A00715	CP048230.1	106542	108036	+	1495	1136
GWK60_A00737	CP048230.1	107362	108751	-	1390	268
GWK60_A00759	CP048230.1	109052	112007	+	2956	150
GWK60_A00781	CP048230.1	111305	113963	-	2659	1053
GWK60_A00803	CP048230.1	114196	118876	+	4681	666
GWK60_A00825	CP048230.1	118183	119263	-	1081	10
GWK60_A00847	CP048230.1	119483	121094	+	1612	918
GWK60_A00869	CP048230.1	121221	121857	-	637	43522
GWK60_A00891	CP048230.1	122845	123904	+	1060	806
GWK60_A00913	CP048230.1	123980	125615	+	1636	292
GWK60_A00935	CP048230.1	125650	127501	-	1852	11713
GWK60_A00957	CP048230.1	128085	130410	+	2326	610
GWK60_A00979	CP048230.1	129828	131835	-	2008	9632
GWK60_A01001	CP048230.1	132712	133321	+	610	10928
GWK60_A01023	CP048230.1	133262	136067	+	2806	526
GWK60_A01045	CP048230.1	136034	138263	+	2230	514
GWK60_A01067	CP048230.1	138245	141197	+	2953	20
GWK60_A01089	CP048230.1	140956	141667	+	712	2552
GWK60_A01111	CP048230.1	142280	144521	+	2242	237
GWK60_A01133	CP048230.1	147012	148293	+	1282	107
GWK60_A01155	CP048230.1	148337	150332	-	1996	77
GWK60_A01177	CP048230.1	152581	157171	+	4591	5
GWK60_A01199	CP048230.1	157478	159317	+	1840	810
GWK60_A01221	CP048230.1	161505	166287	+	4783	2
GWK60_A01243	CP048230.1	166594	168433	+	1840	76
GWK60_A01265	CP048230.1	168514	171037	+	2524	5414
GWK60_A01287	CP048230.1	170951	173795	+	2845	88
GWK60_A01309	CP048230.1	174356	176477	+	2122	492
GWK60_A01353	CP048230.1	176606	177486	-	881	66282
GWK60_A01375	CP048230.1	178790	179657	+	868	56115
GWK60_A01397	CP048230.1	179925	180582	+	658	57
GWK60_A01419	CP048230.1	179910	181059	-	1150	1118
GWK60_A01441	CP048230.1	182472	184146	+	1675	8443
GWK60_A01463	CP048230.1	184908	185664	+	757	5177
GWK60_A01485	CP048230.1	185577	188061	-	2485	2619
GWK60_A01507	CP048230.1	187983	190308	-	2326	581
GWK60_A01529	CP048230.1	190708	191743	+	1036	6269
GWK60_A01551	CP048230.1	192070	193879	+	1810	4628
GWK60_A01573	CP048230.1	193338	195555	-	2218	899
GWK60_A01595	CP048230.1	195748	197854	-	2107	26038
GWK60_A01617	CP048230.1	200917	203008	-	2092	10458
GWK60_A01639	CP048230.1	204737	206903	-	2167	3157
GWK60_A01661	CP048230.1	208625	211829	-	3205	1883
GWK60_A01683	CP048230.1	212060	214844	-	2785	626
GWK60_A01705	CP048230.1	215685	216351	+	667	0
GWK60_A01727	CP048230.1	216271	227902	+	11632	3424
GWK60_A01771	CP048230.1	228106	229726	+	1621	860
GWK60_A01793	CP048230.1	229036	231463	-	2428	615
GWK60_A01815	CP048230.1	231432	232212	-	781	1981
GWK60_A01837	CP048230.1	232556	235028	-	2473	732
GWK60_A01859	CP048230.1	236896	239626	+	2731	1281
GWK60_A01903	CP048230.1	239387	241808	-	2422	7531
GWK60_A01925	CP048230.1	242419	244465	+	2047	5569
GWK60_A01947	CP048230.1	243879	245421	-	1543	181
GWK60_A01969	CP048230.1	246399	247980	+	1582	77
GWK60_A02013	CP048230.1	247686	249903	-	2218	5842
GWK60_A02035	CP048230.1	250300	252358	-	2059	8360
GWK60_A02057	CP048230.1	256575	258624	-	2050	9966
GWK60_A02079	CP048230.1	263580	264801	+	1222	416
GWK60_A02101	CP048230.1	265990	267244	+	1255	1976
GWK60_A02123	CP048230.1	266943	269013	-	2071	8790
GWK60_A02145	CP048230.1	270009	270675	+	667	8
GWK60_A02167	CP048230.1	270999	272730	-	1732	4629
GWK60_A02189	CP048230.1	273815	275174	+	1360	1156
GWK60_A02211	CP048230.1	274832	276569	-	1738	1646
GWK60_A02233	CP048230.1	276559	278722	-	2164	2175
GWK60_A02277	CP048230.1	278898	281022	-	2125	4849
GWK60_A02299	CP048230.1	281204	284204	+	3001	1282
GWK60_A02321	CP048230.1	284239	285589	+	1351	592
GWK60_A02343	CP048230.1	285630	286989	+	1360	7967
GWK60_A02365	CP048230.1	286432	288025	-	1594	2367
GWK60_A02387	CP048230.1	292062	293601	+	1540	1654
GWK60_A02409	CP048230.1	293614	296632	+	3019	1402
GWK60_A02431	CP048230.1	295908	296610	-	703	3612
GWK60_A02453	CP048230.1	296784	298950	+	2167	3678
GWK60_A02475	CP048230.1	298381	301912	-	3532	1792
GWK60_A02497	CP048230.1	302046	303276	-	1231	3163
GWK60_A02519	CP048230.1	303102	305559	-	2458	3867
GWK60_A02541	CP048230.1	305706	307197	+	1492	68
GWK60_A02563	CP048230.1	306984	307638	+	655	9535
GWK60_A02585	CP048230.1	307549	309238	+	1690	3273
GWK60_A02607	CP048230.1	308645	310370	-	1726	367
GWK60_A02629	CP048230.1	310613	311850	+	1238	375
GWK60_A02651	CP048230.1	311931	313263	+	1333	2981
GWK60_A02673	CP048230.1	312552	315435	-	2884	935
GWK60_A02695	CP048230.1	315413	317021	-	1609	756
GWK60_A02717	CP048230.1	317339	318053	+	715	8804
GWK60_A02739	CP048230.1	318016	319921	+	1906	360
GWK60_A02761	CP048230.1	319468	320854	-	1387	2257
GWK60_A02783	CP048230.1	321432	322404	+	973	1928
GWK60_A02805	CP048230.1	321782	323111	-	1330	0
GWK60_A02827	CP048230.1	323402	324026	+	625	141
